,word,count,percent
334,"Fogtman, Anna",2,0.03389
335,"Plano, Santiago Andrés",2,0.03389
336,"Puhl, Christopher",2,0.03389
337,"Blaber, Andrew P.",2,0.03389
338,"Schulze-Makuch, Dirk",2,0.03389
339,"Hu, Wentao",2,0.03389
340,"Clark, Kevin B.",2,0.03389
341,"Holland, Gudrun",2,0.03389
342,"Buckey, Jay C.",2,0.03389
343,"Tamaoki, Daisuke",2,0.03389
344,"Yamaura, Ryohei",2,0.03389
345,"Demets, René",2,0.03389
346,"Giuliani, Alessandro",2,0.03389
347,"Rattenbacher, Bernd",2,0.03389
348,"Bourdier, Pierre",2,0.03389
349,"Van Houdt, Rob",2,0.03389
350,"Schoeller, Dale A.",2,0.03389
351,"Chery, Isabelle",2,0.03389
352,"Sharma, Arun",2,0.03389
353,"Clemens, Rachel",2,0.03389
354,"Le Roux, Elisa",2,0.03389
355,"Thevenot, Cécile",2,0.03389
356,"Garnotel, Maël",2,0.03389
357,"Gauquelin-Koch, Guillemette",2,0.03389
358,"Yamauchi, Daisuke",2,0.03389
359,"Saary, Joan",2,0.03389
360,"Ho, Davian",2,0.03389
361,"Brzhozovskiy, Alexander G.",2,0.03389
362,"He, Jiankang",2,0.03389
363,"Li, Kai",2,0.03389
364,"Wang, Hao",2,0.03389
365,"Khan, Naveed Ahmed",2,0.03389
366,"Urquieta, Emmanuel",2,0.03389
367,"Cucinotta, Francis A.",2,0.03389
368,"Simpson, Anna C.",2,0.03389
369,"Han, Yanping",2,0.03389
370,"Hoshino, Masato",2,0.03389
371,"Khodadad, Christina L. M.",2,0.03389
372,"Wotring, Virginia",2,0.03389
373,"Uesugi, Kentaro",2,0.03389
374,"Galazka, Jonathan",2,0.03389
375,"Maruyama, Yusuke",2,0.03389
376,"Mineyuki, Yoshinobu",2,0.03389
377,"Wu, Jimmy",2,0.03389
378,"Sowa, Marianne B.",2,0.03389
379,"Ott, C. Mark",2,0.03389
380,"Li, Zheng",2,0.03389
381,"Friedline, Skyler",2,0.03389
382,"Chopin, Guillaume",2,0.03389
383,"Ramalho, Tiago P.",2,0.03389
384,"Tian, Xiaoyong",2,0.03389
385,"De Micco, Veronica",2,0.03389
386,"Schuerger, Andrew C.",2,0.03389
387,"Waisberg, Ethan",2,0.03389
388,"Ong, Joshua",2,0.03389
389,"Doloman, Anna",2,0.03389
390,"Kamran, Sharif Amit",2,0.03389
391,"Zaman, Nasif",2,0.03389
392,"Tavakkoli, Alireza",2,0.03389
393,"Arena, Carmen",2,0.03389
394,"Strollo, Felice",2,0.03389
395,"Vernikos, Joan",2,0.03389
396,"Ho, Desiree",2,0.03389
397,"Yamamoto, Tatsuki",2,0.03389
398,"Cestellos-Blanco, Stefano",2,0.03389
399,"Ikegame, Mika",2,0.03389
400,"Valgardson, Kyle",2,0.03389
401,"Styer, Alexander",2,0.03389
402,"Skerker, Jeffrey M.",2,0.03389
403,"Shi, Fengzhe",2,0.03389
404,"Sander, Kyle B.",2,0.03389
405,"Zhang, Chunqiu",2,0.03389
406,"Pane, Vince",2,0.03389
407,"Meraz, Jorge",2,0.03389
408,"Mirkovic, Mia",2,0.03389
409,"Lipsky, Isaac",2,0.03389
410,"Endo, Masato",2,0.03389
411,"Wang, Qin",2,0.03389
412,"Kusuma, Paul",2,0.03389
413,"Ha, Pin",2,0.03389
414,"Gu, Wenyu",2,0.03389
415,"Stahl-Rommel, Sarah",2,0.03389
416,"Caddell, Daniel",2,0.03389
417,"Cerretti, Geraldine",2,0.03389
418,"Abel, Anthony J.",2,0.03389
419,"Medina, Francisco-Javier",2,0.03389
420,"Cornejo-Aguilar, Jorge A.",2,0.03389
421,"Barreto, Ricardo",2,0.03389
422,"Shao, Dongyan",2,0.03389
423,"Vanapalli, Siva A.",2,0.03389
424,"Rubinstein, Linda",2,0.03389
425,"Schreurs, Ann-Sofie",2,0.03389
426,"Torres, Samantha M.",2,0.03389
427,"Steczina, Sonette",2,0.03389
428,"Lane, Nancy E.",2,0.03389
429,"Caporale, Antonio G.",2,0.03389
430,"Birdsall, Holly H.",2,0.03389
431,"Hammond, Timothy G.",2,0.03389
432,"Tahimic, Candice G. T.",2,0.03389
433,"Kiffer, Frederico",2,0.03389
434,"Berliner, Aaron",2,0.03389
435,"McNulty, Matthew",2,0.03389
436,"Song, Bo",2,0.03389
437,"Makrygiorgos, George",2,0.03389
438,"Benvenuti, Alexander",2,0.03389
439,"Papacocea, Ioana Raluca",2,0.03389
440,"Vizitiu, Cristian",2,0.03389
441,"Jercalau, Cosmina Elena",2,0.03389
442,"Marin, Mihaela",2,0.03389
443,"Olteanu, Gabriel",2,0.03389
444,"Dinculescu, Adrian",2,0.03389
445,"Busnatu, Stefan Sebastian",2,0.03389
446,"Sen Gupta, Soumyajit",2,0.03389
447,"Liang, Yin",2,0.03389
448,"Wang, Mengxue",2,0.03389
449,"Liu, Yun",2,0.03389
450,"Wang, Chen",2,0.03389
451,"Takahashi, Ken",2,0.03389
452,"Naruse, Keiji",2,0.03389
453,"Pavletić, Bruno",2,0.03389
454,"Wetmore, Kelly",2,0.03389
455,"Fais, Giacomo",2,0.03389
456,"Zhang, Hao",2,0.03389
457,"Buravkova, L. B.",2,0.03389
458,"Cortés-Sánchez, José Luis",2,0.03389
459,"Soo, Chia",2,0.03389
460,"Kraus, Armin",2,0.03389
461,"Rahman, Mizanur",2,0.03389
462,"Hashizume, Toko",2,0.03389
463,"Knowling, Matthew",2,0.03389
464,"Fan, Quanchun",2,0.03389
465,"Higashitani, Nahoko",2,0.03389
466,"Burgess, Alexandra",2,0.03389
467,"Fisk, Ian",2,0.03389
468,"Zhao, Shuang",2,0.03389
469,"Wu, Xiaorui",2,0.03389
470,"Liu, Yu",2,0.03389
471,"Escribà-Gelonch, Marc",2,0.03389
472,"Liu, Junlian",2,0.03389
473,"Cucina, Alessandra",2,0.03389
474,"Cui, Jie",2,0.03389
475,"Alwasel, Saleh H.",2,0.03389
476,"Concas, Alessandro",2,0.03389
477,"Sato, Kevin",2,0.03389
478,"Yang, Xiao",2,0.03389
479,"Allen, Antiño R.",2,0.03389
480,"Li, Jing",2,0.03389
481,"Fedeli, Valeria",2,0.03389
482,"Castro-Wallace, Sarah L.",2,0.03389
483,"Nickerson, Cheryl A.",2,0.03389
484,"Xu, Peipei",2,0.03389
485,"Chen, Haiying",2,0.03389
486,"Hu, Jinbo",2,0.03389
487,"Cai, Weiming",2,0.03389
488,"Monti, Noemi",2,0.03389
489,"Catizone, Angela",2,0.03389
490,"Harrath, Abdel Halim",2,0.03389
491,"This, Herve",2,0.03389
492,"Locatelli, Laura",2,0.03389
493,"Rattenbacher-Kiser, Karin F.",2,0.03389
494,"Adam, Joe",2,0.03389
495,"Menezes, Amor A.",2,0.03389
496,"Yang, Peidong",2,0.03389
497,"Waymouth, Robert W.",2,0.03389
498,"Hirsa, Amir",2,0.03389
499,"Mesbah, Ali",2,0.03389
500,"Wuest, Simon L.",2,0.03389
501,"Coleman-Derr, Devin",2,0.03389
502,"Bugbee, Bruce",2,0.03389
503,"Zhen, Shuyang",2,0.03389
504,"Tanaka, Hiroaki",2,0.03389
505,"Zhang, Cindy",2,0.03389
506,"Yamada, Mitsugu",2,0.03389
507,"Woo, Sung-Geun",2,0.03389
508,"Guo, Yinghua",2,0.03389
509,"Russomano, Thais",2,0.03389
510,"McMackin, Patrick",2,0.03389
511,"Griffin, Shannon",2,0.03389
512,"Maier, Jeanette A. M.",2,0.03389
513,"Zhao, Yong",2,0.03389
514,"Xu, Chong",2,0.03389
515,"Hassanpour, Halimeh",2,0.03389
516,"Ille, Fabian",2,0.03389
517,"Ting, Kang",2,0.03389
518,"Monici, Monica",2,0.03389
519,"Duri, Luigi G.",2,0.03389
520,"Corydon, Thomas Juhl",2,0.03389
521,"Clark, Douglas S.",2,0.03389
522,"Zhao, Haitian",2,0.03389
523,"Song, Chen",2,0.03389
524,"Guan, Shuanghong",2,0.03389
525,"Seefeldt, Lance C.",2,0.03389
526,"Cheng, Dayou",2,0.03389
527,"Sun, Yeqing",2,0.03389
528,"Tran, Nam N.",2,0.03389
529,"Buravkova, Ludmila",2,0.03389
530,"Zhang, Yuanxun",2,0.03389
531,"Pišot, Rado",2,0.03389
532,"Wang, Bing",2,0.03389
533,"Simonsen, Lisa C.",2,0.03389
534,"Chen, Xi",2,0.03389
535,"Patel, Zarana S.",2,0.03389
536,"Choonara, Yahya E.",2,0.03389
537,"Heinicke, Christiane",2,0.03389
538,"Gilliham, Matthew",2,0.03389
539,"Selbmann, Laura",2,0.03389
540,"Tran, Phuong Hoa",2,0.03389
541,"Kotov, Oleg V.",2,0.03389
542,"Zhou, Qianxiang",2,0.03389
543,"Cao, Xu",2,0.03389
544,"Katsube, Takanori",2,0.03389
545,"Liu, Zhongqi",2,0.03389
546,"Yan, Juan",2,0.03389
547,"Yu, Zitong",2,0.03389
548,"Zeng, Lin",2,0.03389
549,"Du, Jing",2,0.03389
550,"Norman, Ryan B.",2,0.03389
551,"Huff, Janice L.",2,0.03389
552,"Narici, Livio",2,0.03389
553,"Billi, Daniela",2,0.03389
554,"Barisano, Giuseppe",2,0.03389
555,"Usik, Maria A.",2,0.03389
556,"Goncharova, A.G.",2,0.03389
557,"Azeez, Tooyib A.",2,0.03389
558,"Ramachandran, Gopika",2,0.03389
559,"Montgomery, McLane M.",2,0.03389
560,"Caldwell, Jacob T.",2,0.03389
561,"Park, Hyerim",2,0.03389
562,"Ibrahim, Zeinab",2,0.03389
563,"Adesida, Adetola B.",2,0.03389
564,"Nguyen, Hong Phuong",2,0.03389
565,"Bershad, Eric M.",2,0.03389
566,"Przystupski, Dawid",2,0.03389
567,"Ikhajiagbe, Beckley",2,0.03389
568,"Ding, Li",2,0.03389
569,"Juran, Cassandra M.",2,0.03389
570,"Kashirina, Daria N.",2,0.03389
571,"Cao, Xinsheng",2,0.03389
572,"Li, Fan",2,0.03389
573,"Alsuwaidi, Hanan",2,0.03389
574,"Cornelissen, Germaine",2,0.03389
575,"Yang, Su-Geun",2,0.03389
576,"Chauhan, Vinita",2,0.03389
577,"Kulbacka, Julita",2,0.03389
578,"Chernikova, A.G.",2,0.03389
579,"Saczko, Jolanta",2,0.03389
580,"Spencer, LaShelle E.",2,0.03389
581,"Toh, Li Shean",2,0.03389
582,"Kozyrovska, Natalia",2,0.03389
583,"Nie, Jiachen",2,0.03389
584,"Duraisamy, Vijay Vishal",2,0.03389
585,"Andrijauskaite, Kristina",2,0.03389
586,"Llanos, Pedro J.",2,0.03389
587,"Wise, Petra",2,0.03389
588,"Melnik, Daniela",2,0.03389
589,"Averesch, Nils J. H.",2,0.03389
590,"Gumulya, Yosephine",2,0.03389
591,"Kern, Christoph",2,0.03389
592,"Kopp, Sascha",2,0.03389
593,"Shunk, Graham K.",2,0.03389
594,"Golubkova, Maria A.",2,0.03389
595,"Zhang, Yongqian",2,0.03389
596,"Li, Nuomin",2,0.03389
597,"Weil, Michael M.",2,0.03389
598,"Kramer, Larry A.",2,0.03389
599,"Graf, Daniel",2,0.03389
600,"Schoenmaekers, Catho",2,0.03389
601,"Muthert, Lucius Wilhelminus Franciscus",2,0.03389
602,"Ren, Yafei",2,0.03389
603,"Degan, Paolo",2,0.03389
604,"Wu, Runlong",2,0.03389
605,"Hu, Yanhui",2,0.03389
606,"Fu, Qiang",2,0.03389
607,"Song, Jinping",2,0.03389
608,"Zhang, Jiaqi",2,0.03389
609,"Feng, Lishuang",2,0.03389
610,"Zhang, Li",2,0.03389
611,"Cheng, Heping",2,0.03389
612,"Wang, Aimin",2,0.03389
613,"Hu, Liming",2,0.03389
614,"Yamamoto, Masayuki",2,0.03389
615,"Vroom, Madeline M.",2,0.03389
616,"Lai, Linbin",2,0.03389
617,"Wang, Yanqing",2,0.03389
618,"Zhen, Zhen",2,0.03389
619,"Wang, Junjie",2,0.03389
620,"Delp, Michael",2,0.03389
621,"Hemingray, Caroline",2,0.03389
622,"Prasad, Binod",2,0.03389
623,"Huai, Ying",2,0.03389
624,"Roberts, Donna R.",2,0.03389
625,"Tomilovskaya, Elena",2,0.03389
626,"Westland, Stephen",2,0.03389
627,"Qiu, Wuxia",2,0.03389
628,"Larina, I.M.",2,0.03389
629,"Ru, Kang",2,0.03389
630,"Gao, Shuo",2,0.03389
631,"Shirakawa, Masaki",2,0.03389
632,"Liang, Xuechao",2,0.03389
633,"Jin, Xiang",2,0.03389
634,"Suzuki, Takafumi",2,0.03389
635,"Hamada, Michito",2,0.03389
636,"Suzuki, Riku",2,0.03389
637,"Dong, Wenyi",2,0.03389
638,"Kashirina, D.N.",2,0.03389
639,"Izzo, Luigi Gennaro",2,0.03389
640,"Gkivogkli, Polyxeni T.",2,0.03389
641,"Frantzidis, Christos A.",2,0.03389
642,"Nosovsky, A.M.",2,0.03389
643,"Li, David Xinzheyang",2,0.03389
644,"Romano, Leone Ermes",2,0.03389
645,"Ma, Zhiyao",2,0.03389
646,"Capozzi, Fiore",2,0.03389
